frequency,rebalance_date,next_rebalance,ic_pearson,ic_spearman,n_stocks
weekly,1972-07-14,1972-07-21,0.06278282883926115,0.09196937133509962,1399
weekly,1972-07-21,1972-07-28,0.02172477335580901,0.07936896859772409,1397
weekly,1972-07-28,1972-08-04,0.12016099989958645,0.17429634742858016,1389
weekly,1972-08-04,1972-08-11,0.0495463509881951,0.1254249324989182,1414
weekly,1972-08-11,1972-08-18,0.04510550713910875,0.11116550743102296,1407
weekly,1972-08-18,1972-08-25,0.049229126714202175,0.06823899168312578,1410
weekly,1972-08-25,1972-09-01,0.0723007607479441,0.11377892725538478,1405
weekly,1972-09-01,1972-09-08,0.07787735644779717,0.10691798084703866,1408
weekly,1972-09-08,1972-09-15,0.061709004894175405,0.09470429466893307,1402
weekly,1972-09-15,1972-09-22,0.008905462558689068,0.04384260715966779,1386
weekly,1972-09-22,1972-09-29,0.09211466660827047,0.13694630694189966,1381
weekly,1972-09-29,1972-10-06,0.07102571442895701,0.0970601376043545,1405
weekly,1972-10-06,1972-10-13,0.04696121843939573,0.06570148422558347,1404
weekly,1972-10-13,1972-10-20,0.12321029963508867,0.1589835439631671,1395
weekly,1972-10-20,1972-10-27,0.019091264480687122,0.0654391068227338,1400
weekly,1972-10-27,1972-11-03,0.08784649619827097,0.13437662199932723,1409
weekly,1972-11-03,1972-11-10,0.02403660031108211,0.05674114491628367,1381
weekly,1972-11-10,1972-11-17,0.0735248495185816,0.1177010912602558,1381
weekly,1972-11-17,1972-11-24,-0.0005045368883365766,0.040182219826916075,1389
weekly,1972-11-24,1972-12-01,-0.15771560814385505,-0.13700435003649003,1391
weekly,1972-12-01,1972-12-08,0.012314826184895445,0.07093851884396402,1407
weekly,1972-12-08,1972-12-15,0.20920867509566438,0.2472029369137771,1442
weekly,1972-12-15,1972-12-22,0.08489117695514004,0.12509304663100612,1434
weekly,1972-12-22,1972-12-29,0.07106570054974272,0.13198589131575772,1422
weekly,1972-12-29,1973-01-05,-0.24082364010017523,-0.2371779816317175,1439
weekly,1973-01-05,1973-01-12,0.08486724146355713,0.1310766725848146,1441
weekly,1973-01-12,1973-01-19,0.05575506211764213,0.06598805561030684,1431
weekly,1973-01-19,1973-01-26,0.0768834231796227,0.09908403310459571,1418
weekly,1973-01-26,1973-02-02,0.12722202549554992,0.15436638186723817,1438
weekly,1973-02-02,1973-02-09,0.10217608970747874,0.12959529351498122,1413
weekly,1973-02-09,1973-02-16,0.05346016349366418,0.06988287993436113,1422
weekly,1973-02-16,1973-02-23,0.10748607224829537,0.15271047032688234,1404
weekly,1973-02-23,1973-03-02,0.12493147914570223,0.1475864285504051,1404
weekly,1973-03-02,1973-03-09,-0.05070698581812531,-0.0010823625583490037,1413
